recipeId,cocktailId,bartender,company,location,glasswareId,instruction,votes,rating
82,600,Marvin Allen,Hotel Monteleone,New Orleans,4,"Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime.",0,0
83,36,Claire & Chad,Tin Roof Drink Community,San Francisco,10,Build in an old fashioned glass over ice. Garnish with orange peel.,0,0
84,508,Morgan Schick ,Jupiter Olympus ,San Francisco,43,Build in collins glass. Top with soda. Orange peel.,0,0
85,462,Nate Jimenez,,,0,Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.,0,0
86,592,,,,0,"Build in ice-filled tall glass, garnish with a squeeze of lime.",0,0
87,416,,,,10,Build in old fashioned glass over ice.,0,0
88,223,Jim Romdall,,,10,"Build in old fashioned glass, stir and serve over large ice cube.",0,0
89,654,Joaquin Simo,Pouring Ribbons,New York,40,Build in rocks glass. Use cylinder ice cube.,0,0
90,528,,,,10,Build over ice in Old Fashioned glass.,0,0
91,252,,,,0,"Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry.",0,0
92,279,,,San Francisco,0,"Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",0,0
93,489,Pasha Morshedi,,Houston,43,Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.,0,0
94,394,,Gastronomista.com,,19,"Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry.",0,0
95,3,,Dirty Habit,San Francisco,10,Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.,0,0
96,421,Robert Krueger,,,42,Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.,0,0
97,542,Kevin Diedrich,,San Francisco,3,Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,0,0
98,143,Benedict Simpson,Ancestral Garden Bar & Restaurant,New Zealand,16,"Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel.",0,0
99,14,,,,0,Chilled. Serve up or on the rocks.,0,0
100,478,,,,3,Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,0,0
101,91,Laura Maddox,Small Victory,Austin,43,"Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel.",0,0
102,589,Brian Means,Dirty Habit,San Francisco,3,Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.,0,0
103,425,Jeramy Campbell,Juliet Ristorante,Austin,35,Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.,0,0
104,453,Brian Means,Dirty Habit,San Francisco,34,"Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters.",0,0
105,228,Russell Davis,,San Francisco,56,Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,0,0
106,580,Russell Davis,,San Francisco,40,Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,0,0
107,46,Alex Quesada,Local Edition,San Francisco,3,"Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel. 

*Substitute with Yellow Chartreuse Liqueur",0,0
108,115,Alan Kropf,,San Francisco,3,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel.",0,0
109,503,Alan Kropf,,San Francisco,40,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",0,0
110,657,Tom Cavazos,The Cedars Social,Dallas,43,"Combine all ingredients except soda in a tin and dry shake. Add ice and shake vigorously. Add soda into a collins glass and slowly strain the drink over it until it forms a head. Garnish with one rhubarb stalk.

*Rhubarb Infused Gin:
750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours",0,0
111,250,Kevin Diedrich,Turnkey,San Francisco,60,Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.,0,0
112,507,Bonnie Wilson,Ida Claire,Dallas,10,Combine all ingredients except the bitters and dry shake. Add ice and shake again. Strain over fresh ice into a double old fashioned glass. Dash bitters over the top of the cocktail. Garnish with a dried peach and a piece of candied ginger.,0,0
113,158,Russell Davis,,,0,"Combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. Add ice. Stir again to mix. Garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk.",0,0
114,253,Michael Esposito,Snake Oil Company,San Diego,43,Combine all ingredients in a Collins glass and stir. Garnish with a slice of ginger and lemon wheel.,0,0
115,238,Sean McClure,,,3,Combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. Strain into a frozen coupe glass.,0,0
116,207,Sean McClure,,,0,Combine all ingredients in a glass filled with ice and garnish with an orange twist.,0,0
117,0,Enrique Sanchez,,Pacifica,3,Combine all ingredients in a mixing glass and add ice. Shake well and double strain and serve into a coupe.,0,0
118,473,,,San Francisco,0,Combine all ingredients in a mixing glass and stir until proper dilution. Strain into a chilled cocktail glass. Garnish with a sage leaf speared through two cocktail onions.,0,0
119,466,Mo Hodges & Brian Felley,Benjamin Cooper,San Francisco,13,"Combine all ingredients in a mixing glass with ice, stir and strain into a chilled cocktail glass. Garnish with a lemon twist and the edible flower of your choice.",0,0
120,614,Carl Wenger,Shady Lady Saloon,Sacramento,3,"Combine all ingredients in a mixing glass, add ice and stir. Strain into a chilled coupe glass and garnish with a Luxardo Maraschino Cherry.",0,0
121,526,John Codd,Tradition,San Francisco,35,"Combine all ingredients in a mixing glass, add ice and then stir. Strain into a Nick & Nora glass and garnish with a lemon twist.",0,0
122,468,Anthony Parks,Mourad,San Francisco,35,"Combine all ingredients in a mixing glass, stir, and strain into a chilled Nick & Nora glass. Garnish with a picked cucumber ribbon.

*Nori-Infused Sake: 
-- Ginjo Sake
-- Nori Seaweed Sheet

Using an Oji Style Cold Brew Coffee Maker, drip Ginjo sake through a 0.5 gram of nori seaweed sheet that has been hand-shredded. It takes 3 hours to infuse a 750 ml bottle.",0,0
123,195,Jason Rager,AQ,San Francisco,0,Combine all ingredients in a mixing glass. Stir until 2 oz water is diluted. Strain into a sherry or nosing glass. Flame and discard an orange peel. Drink deeply.,0,0
124,21,Brian MacGregor,,San Francisco,43,"Combine all ingredients in a mixing tin. Shake and strain into a collins glass full of crushed ice. Garnish with apple slices.

*Chamomile Tea Syrup: 
-- 2 c water
-- 1 c chamomile flower
-- 1 c sugar
Bring 1 cup water to boil.
Add 1 cup chamomile flower and 1 more cup of water, bring back to a boil.
Add 1 cup sugar, bring to boil. 
Let it rest. When cool, the syrup is ready.",0,0
125,318,,,,5,"Combine all ingredients in a punch bowl, add a large chunk or block of ice, garnish with lemon wheels and apple slices. Serve when punch is chilled.",0,0
126,561,,,,56,"Combine all ingredients in a shaker and shake until proper dilution. Double strain into a chilled martini or coupe glass and garnish with 2 fresh basil leaves that have been lightly ""spanked"" to release aromatics.",0,0
127,423,Tyler Chauvin,Treo,New Orleans,52,Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.,0,0
128,621,Tyler Chauvin,Treo,New Orleans,36,Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,0,0
129,300,Caitlin Laman,Trick Dog,San Francisco,10,Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.,0,0
130,395,Tyler Chauvin,Treo,New Orleans,36,"Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass.",0,0
131,477,John Weyrich,La Mar Cebicheria Peruana,San Francisco,0,"Combine all ingredients in a shaker, except the apple cider. Shake vigorously. Strain over ice. Top with apple cider. Garnish with shaved cinnamon and nutmeg.",0,0
132,263,Danny Louie,Alembic,San Francisco,10,"Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes.",0,0
133,456,Chris Lane,Lolinda,San Francisco,40,"Combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. Add ice, and shake for another 8 seconds. Strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.

*Vanilla Syrup: 
Split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan. 
Add 2 c. raw sugar and 2 c. water. Bring to a simmer and reduce heat to low. 
Cook for 5 mins and stir occasionally. 
Remove from heat and keep unstrained for 24 hrs. 
Strain through a cheese cloth and bottle. Keeps for 2 weeks.

**Coconut Cream:
Combine 1 part Coco Lopez with 1 part rich coconut milk. Mix well.",0,0
134,294,,,,60,Combine all ingredients in a sparkling wine glass.,0,0
135,100,Lynnette Marrero,,,0,Combine all ingredients in a tall glass.,0,0
136,62,Lynnette Marrero,,,65,"Combine all ingredients in a wine glass, stir to mix. Add ice and enjoy.  
Convert ounces to cups to make a larger pitcher for you and your guests.",0,0
137,128,Robby Cook,,Houston,35,Combine all ingredients in mixing glass with ice and stir. Strain into chilled cocktail coupe or Nick & Nora. Expel lemon peel over cocktail then place in glass.,0,0
138,404,Hal Brock,,Houston,35,"Combine all ingredients in mixing glass. Stir and strain into Nick & Nora cocktail glass. Garnish with lemon zest and yerba mate tea sachet.

*Bay Leaf Syrup:
-- 16 oz Water
-- 12 Bay Leaves
-- 1.5 C White Sugar

Bring water to boil with bay leaves. Lower heat to medium and simmer 15-20 mins. Stir in white sugar until dissolved, without bringing to a boil again. Remove from heat, let cool at room temperature. Remove bay leaves and enjoy.

**Salt Tincture:
-- .5 C Salt
-- 1 C Water
-- 2 C 100p Vodka

Stir salt with water and vodka. Stir until dissolved. Strain out extra salt, if any.",0,0
139,341,,Alta CA,San Francisco,13,"Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise.",0,0
140,429,Jon Morales,,San Francisco,22,"Combine all ingredients in shaker. Dry shake for 10 seconds, add ice and shake for 30 seconds. Strain into small tumbler. Garnish with a sprinkle of grated nutmeg.",0,0
141,68,,,,3,"Combine all ingredients in to a mixing glass and add ice.

Stir for about 10-15 seconds.

Strain in to a cocktail coupe or a glass of your choosing.

Garnish with an orange twist expressed over the top of the drink.",0,0
